K00285	K00457
K05692	K12756
K05308	K06152
K04431	K05736
K02580	K12499
K00541	K03784
K01689	K15635
K10713	K16256
K01738	K16952
K06718	K06720
K04073	K07509
K05098	K05461
K12611	K12615
K03040	K12320
K00148	K15228
K03783	K13479
K01595	K01959
K00207	K01240
K00148	K16255
K02833	K04718
K07151	K12666
K01477	K01483
K01193	K05350
K00302	K01620
K00547	K08969
K00288	K00602
K01758	K11358
K00226	K11540
K03456	K04869
K12585	K12587
K01510	K03019
K01086	K01809
K01432	K01556
K00582	K00672
K03816	K13762
K04377	K04707
K00001	K11156
K00055	K00146
K16818	K17103
K00529	K14578
K04709	K04713
K03172	K04440
K12664	K17690
K04872	K12326
K04692	K07593
K10534	K15864
K00844	K12112
K00844	K15779
K07508	K10527
K00854	K05351
K01705	K17450
K03097	K04734
K03097	K14545
K09018	K17722
K05095	K05453
K07385	K12467
K14023	K14024
K13525	K14012
K06209	K13503
K00629	K00864
K04349	K04857
K08042	K08718
K05108	K06619
K05063	K05065
K02677	K05725
K01920	K11205
K01697	K10764
K01779	K11358
K00025	K01643
K00066	K10046
K04227	K04637
K14676	K16817
K00657	K12251
K05099	K05460
K14514	K14516
K07294	K08524
K00526	K12305
K00260	K12657
K08723	K14641
K01615	K01782
K00049	K15788
K00164	K00174
K00210	K01850
K11182	K14265
K03012	K12324
K03158	K05468
K01120	K08048
K00380	K13034
K00303	K00830
K00201	K03519
K00453	K01556
K00366	K01455
K03009	K14642
K05343	K12317
K02187	K04396
K01080	K04714
K01624	K01803
K16937	K17226
K02202	K06634
K05096	K17447
K00057	K00096
K00922	K01116
K00121	K00157
K00210	K05821
K04694	K05078
K00844	K02777
K04544	K08041
K03916	K04635
K00024	K01643
K00288	K01938
K00978	K16153
K04765	K13758
K02080	K10984
K00940	K03048
K01067	K01512
K00583	K03389
K07249	K11146
K01139	K12304
K05858	K07972
K04377	K05449
K01638	K01961
K00832	K04518
K11358	K17748
K00962	K12304
K04548	K08045
K04698	K05075
K00922	K04549
K00795	K00805
K00873	K14159
K03024	K08049
K04345	K04369
K05704	K06484
K00634	K01034
K04541	K05000
K12324	K13759
K03662	K11726
K02335	K09887
K00602	K12304
K00940	K03003
K00385	K00387
K00758	K16330
K01404	K03990
K04157	K04635
K01507	K01543
K01760	K10764
K03504	K12406
K04161	K04545
K00128	K01706
K16951	K17219
K02490	K06375
K00914	K16619
K05147	K06498
K00952	K11751
K12339	K17995
K05095	K11981
K01501	K11816
K00249	K07511
K03043	K12324
K07515	K14534
K02133	K11725
K05701	K06068
K00460	K17719
K04215	K04544
K04952	K05027
K00909	K05050
K04409	K05731
K04182	K11218
K12664	K17720
K00170	K01648
K06233	K11988
K00169	K02594
K04447	K05067
K00097	K00831
K01769	K08718
K04441	K12103
K00695	K00963
K00922	K12562
K01333	K03990
K01253	K17683
K12298	K14675
K00456	K01594
K04194	K04635
K01139	K10807
K02626	K13241
K00364	K01510
K00103	K03475
K00148	K11261
K00951	K03041
K02079	K02747
K06236	K16338
K04450	K15867
K04871	K11584
K01488	K08722
K00603	K01938
K16256	K17067
K00457	K00813
K00262	K00926
K04153	K04347
K00625	K00626
K07967	K12309
K01510	K13798
K01835	K08312
K01718	K17723
K03785	K13829
K04546	K07843
K05099	K07827
K04177	K05512
K02105	K04499
K00914	K17889
K17718	K17862
K03003	K08047
K00463	K00562
K02046	K17223
K00068	K00850
K05154	K05479
K01307	K13998
K05719	K06247
K04193	K11218
K11942	K15038
K00294	K11358
K06498	K06856
K04364	K06619
K04492	K10056
K01478	K02626
K02206	K06645
K01941	K14048
K13242	K13427
K01077	K07658
K00489	K07413
K05860	K13711
K13512	K16369
K15467	K16023
K07540	K16242
K05085	K05633
K00702	K01194
K06119	K11160
K00830	K14272
K00508	K17863
K04660	K13375
K04540	K04850
K01116	K13711
K06449	K06492
K04373	K04526
K05701	K18050
K09680	K13799
K01032	K07513
K07409	K15718
K04389	K12497
K00981	K00999
K01357	K06230
K01426	K07824
K11354	K11355
K04431	K16195
K04447	K04700
K04536	K12326
K01058	K16342
K04404	K04432
K04249	K05251
K00844	K12406
K17645	K17652
K04185	K05416
K11155	K13369
K06863	K11176
K01519	K03504
K04534	K04605
K00895	K16306
K05232	K09048
K04344	K04540
K05664	K08537
K00273	K10793
K04185	K05507
K03004	K08044
K03371	K07633
K00216	K01252
K02150	K11725
K03020	K14641
K04873	K06269
K00140	K07509
K00965	K06118
K05797	K15765
K13812	K16255
K10005	K10006
K02361	K14759
K05090	K17448
K08878	K17448
K00917	K16371
K01621	K11645
K01553	K08046
K10575	K10661
K03382	K05394
K04392	K05692
K00813	K10150
K14180	K15793
K02677	K04536
K01553	K03003
K00301	K00827
K01081	K01511
K00324	K03426
K04695	K05065
K03053	K14642
K02817	K16055
K00390	K16969
K00270	K00457
K04729	K05414
K01809	K14634
K00625	K01649
K00158	K00169
K07191	K07196
K01703	K09011
K01723	K10525
K12753	K17388
K00632	K06445
K01951	K13296
K01519	K14721
K02321	K14642
K00023	K03821
K00957	K01513
K00824	K14454
K01715	K17829
K05069	K05429
K00689	K01193
K04440	K04545
K00101	K01958
K02777	K08074
K01664	K03342
K09518	K09561
K00035	K12308
K04190	K10032
K05050	K10032
K14174	K14184
K08041	K13797
K06928	K13798
